exp,regime,seed,direct,margin,decouple,drawdown,client_defaults,cm_defaults,nbcm_defaults,deepest_waterfall,mutualised_l3,survivor_l4,total_df,ccp_cash_used,client_loss_absorbed,im_mean,im_peak
H1,calm,183,False,reactive,False,-5.349078102340998,0,0,0,0,False,False,17147463856.875002,0.0,0.0,17519396542.092,19914968340.0
H1,calm,184,False,reactive,False,-5.328361301015128,0,0,0,0,False,False,14291212456.125002,0.0,0.0,17035667458.38,19133440560.0
H1,calm,185,False,reactive,False,-5.37001740283417,0,0,0,0,False,False,15429024319.500002,0.0,0.0,17952210401.202,20510869626.0
H1,calm,186,False,reactive,False,-5.3623969168289705,0,0,0,0,False,False,16172509901.625002,0.0,0.0,18073436243.22,20215409841.0
H1,calm,187,False,reactive,False,-5.34079138181065,0,0,0,0,False,False,12958466412.375002,0.0,0.0,17739557356.518,20263610160.0
H1,calm,188,False,reactive,False,-5.378081624197229,0,0,0,0,False,False,16925261982.750002,0.0,0.0,19121498136.936,20998076499.0
H1,calm,189,False,reactive,False,-5.3541088226762295,0,0,0,0,False,False,17335807495.875,0.0,0.0,18117711802.764,20631856410.0
H1,calm,190,False,reactive,False,-5.3532214626061725,0,0,0,0,False,False,14872161273.750002,0.0,0.0,19430898435.918,21961737072.0
H1,calm,191,False,reactive,False,-5.369794903666869,0,0,0,0,False,False,15749525657.250002,0.0,0.0,18244683476.28,20830564557.0
H1,calm,42,False,flat04,False,-5.357586806994286,0,0,0,0,False,False,14557440521.250002,0.0,0.0,18590736422.34,21660629526.0
H1,calm,43,False,flat04,False,-5.332504661280302,0,0,0,0,False,False,12380738225.625002,0.0,0.0,15850568452.122,19131162309.0
H1,calm,44,False,flat04,False,-5.361508183136521,0,0,0,0,False,False,13937522531.625002,0.0,0.0,18565604139.042,21868898958.0
H1,calm,45,False,flat04,False,-5.328361301015128,0,0,0,0,False,False,18976055657.625,0.0,0.0,18978301078.002,20898757647.0
H1,calm,46,False,flat04,False,-5.3946550652579255,0,0,0,0,False,False,15914330326.125002,0.0,0.0,16916611934.682,19751244300.0
H1,calm,47,False,flat04,False,-5.365651543401695,0,0,0,0,False,False,19252881462.375,0.0,0.0,19124274883.932,21370162086.0
H1,calm,48,False,flat04,False,-5.344934742075824,0,0,0,0,False,False,15918447204.000002,0.0,0.0,17334445840.434,20368216125.0
H1,calm,49,False,flat04,False,-5.373938263932054,0,0,0,0,False,False,14936523351.750002,0.0,0.0,18058088924.874,20759207112.0
H1,calm,50,False,flat04,False,-5.407085146053447,0,0,0,0,False,False,14487500090.250002,0.0,0.0,18446378779.854,20861213877.0
H1,calm,51,False,flat04,False,-5.344934742075824,0,0,0,0,False,False,15369733417.500002,0.0,0.0,19290060033.534,21676972086.0
H1,calm,52,False,flat04,False,-5.345156211154389,0,0,0,0,False,False,17228070906.75,0.0,0.0,17213786759.7,20545900074.0
H1,calm,53,False,flat04,False,-5.344934742075824,0,0,0,0,False,False,12363708418.875002,0.0,0.0,17438559156.54,19816325541.0
H1,calm,54,False,flat04,False,-5.349299743101021,0,0,0,0,False,False,14081826812.625002,0.0,0.0,16887385554.66,19756350000.0
H1,calm,55,False,flat04,False,-5.357364822871347,0,0,0,0,False,False,14021130667.500002,0.0,0.0,17679180597.894,20849978853.0
H1,calm,56,False,flat04,False,-5.357364822871347,0,0,0,0,False,False,17068307998.500002,0.0,0.0,18399219509.826,21632998266.0
H1,calm,57,False,flat04,False,-5.378081624197229,0,0,0,0,False,False,16135581231.000002,0.0,0.0,18869422690.602,21439667736.0
H1,calm,58,False,flat04,False,-5.378304466727435,0,0,0,0,False,False,16390870736.625002,0.0,0.0,17506451334.438,19951426530.0
H1,calm,59,False,flat04,False,-5.3534432750476535,0,0,0,0,False,False,15031127368.125002,0.0,0.0,16458037124.796,19385374302.0
H1,calm,60,False,flat04,False,-5.328361301015128,0,0,0,0,False,False,16001995779.000002,0.0,0.0,17540487329.778,20233501488.0
H1,calm,61,False,flat04,False,-5.341676681447105,0,0,0,0,False,False,14584737345.750002,0.0,0.0,17550277006.104,19961054784.0
H1,calm,62,False,flat04,False,-5.333609614587653,0,0,0,0,False,False,15165044259.750002,0.0,0.0,18370166000.598,20871895320.0
H1,calm,63,False,flat04,False,-5.336648021545476,0,0,0,0,False,False,15065810879.625002,0.0,0.0,18411704134.182,21220341651.0
H1,calm,64,False,flat04,False,-5.328361301015128,0,0,0,0,False,False,15189772318.875002,0.0,0.0,19818068040.954,22809199806.0
H1,calm,65,False,flat04,False,-5.386368344727577,0,0,0,0,False,False,16029933121.125002,0.0,0.0,17467185638.574,20147376087.0
H1,calm,66,False,flat04,False,-5.333388587294352,0,0,0,0,False,False,15945799975.875002,0.0,0.0,19618311247.686,22194487674.0
H1,calm,67,False,flat04,False,-5.3702399204408895,0,0,0,0,False,False,14365041322.500002,0.0,0.0,17837004751.092,20485940832.0
H1,calm,68,False,flat04,False,-5.352999668544911,0,0,0,0,False,False,14152157266.500002,0.0,0.0,17811029483.28,19986599556.0
H1,calm,69,False,flat04,False,-5.383117152210848,0,0,0,0,False,False,16399820732.625002,0.0,0.0,18703939352.58,21220403310.0
H1,calm,70,False,flat04,False,-5.337532634370723,0,0,0,0,False,False,14413889320.875002,0.0,0.0,18093840774.084,20592836316.0
H1,calm,71,False,flat04,False,-5.3541088226762295,0,0,0,0,False,False,12989296200.375002,0.0,0.0,19711928905.2,23064343704.0
H1,calm,72,False,flat04,False,-5.398798425523099,0,0,0,0,False,False,17697182320.125,0.0,0.0,18986818182.678,21491882064.0
H1,calm,73,False,flat04,False,-5.3242179407499535,0,0,0,0,False,False,14450820837.750002,0.0,0.0,16824868516.476,19952793900.0
H1,calm,74,False,flat04,False,-5.349078102340998,0,0,0,0,False,False,16060118295.375002,0.0,0.0,17890634536.344,21179306169.0
H1,calm,75,False,flat04,False,-5.333388587294352,0,0,0,0,False,False,16469850808.125002,0.0,0.0,19653489352.134,23012809767.0
H1,calm,76,False,flat04,False,-5.303940662163842,0,0,0,0,False,False,15526871266.500002,0.0,0.0,16296371590.284,19005910992.0
H1,calm,77,False,flat04,False,-5.349964775599847,0,0,0,0,False,False,14990984415.000002,0.0,0.0,15714568109.088,19721832300.0
H1,calm,78,False,flat04,False,-5.328361301015128,0,0,0,0,False,False,17748798853.5,0.0,0.0,17883489554.55,20638072845.0
H1,calm,79,False,flat04,False,-5.378081624197229,0,0,0,0,False,False,14194869368.625002,0.0,0.0,18233567101.854,19950649065.0
